state,line,our_serff_tracking_number,our_subsidiary,our_effective_date,our_impact,our_policyholders,matched_ambest_subsidiary,ambest_effective_date,ambest_impact,ambest_policyholders,agreed_subsidiary,agreed_impact,agreed_eff_date,agreed_policyholders,match_strength
GA,PPA,LBPM-134197878,Safeco Insurance Company of Indiana,02/27/2025,0.000%,20292,Safeco Insurance Company of Indiana,02/27/25,0.0,20292,True,True,True,True,direct
GA,PPA,LBPM-134197878,Safeco Insurance Company of Illinois,02/27/2025,0.000%,42580,Safeco Insurance Company of Illinois,02/27/25,0.0,42580,True,True,True,True,direct
GA,PPA,LBPM-134226459,Safeco National Insurance Company,01/22/2025,19.100%,4429,Safeco National Insurance Company,01/22/25,19.1,4429,True,True,True,True,direct
GA,PPA,LBPM-134230084,Safeco Insurance Company of Illinois,11/17/2024,9.900%,20646,,,,,,,,,none
GA,PPA,LBPM-134230084,Safeco Insurance Company of Indiana,11/17/2024,10.000%,10493,,,,,,,,,none
GA,PPA,LBPM-134283476,Safeco Insurance Company of Indiana,02/07/2025,10.200%,81,,,,,,,,,none
GA,PPA,LBPM-134283476,General Insurance Company of America,02/07/2025,8.600%,14,,,,,,,,,none
GA,PPA,LBPM-134283476,Safeco National Insurance Company,02/07/2025,10.100%,614,,,,,,,,,none
GA,PPA,LBPM-134283476,Safeco Insurance Company of America,02/07/2025,10.000%,935,,,,,,,,,none
GA,PPA,LBPM-134283476,Safeco Insurance Company of Illinois,02/07/2025,10.400%,320,,,,,,,,,none
GA,PPA,LBPM-134283476,First National Insurance Company of America,02/07/2025,10.200%,46,,,,,,,,,none
GA,PPA,LBPM-134283476,American States Insurance Company,02/07/2025,10.600%,17,,,,,,,,,none
GA,PPA,LBPM-134283476,American States Insurance Company of Texas,02/07/2025,13.600%,1,,,,,,,,,none
GA,PPA,LBPM-134556974,Safeco Insurance Company of Indiana,08/28/2025,-4.900%,6775,Safeco Insurance Company of Indiana,08/28/25,-4.9,6775,True,True,True,True,direct
GA,PPA,LBPM-134556974,Safeco Insurance Company of Illinois,08/28/2025,-5.100%,15115,Safeco Insurance Company of Illinois,08/28/25,-5.1,15115,True,True,True,True,direct
GA,PPA,LBPM-134614869,Safeco Insurance Company of Indiana,11/12/2025,6.700%,761,Safeco Insurance Company of Indiana,11/12/25,6.7,761,True,True,True,True,direct
GA,PPA,LBPM-134614869,Safeco Insurance Company of Illinois,11/12/2025,6.700%,558,Safeco Insurance Company of Illinois,11/12/25,6.7,558,True,True,True,True,direct
GA,PPA,LBPM-134667266,Safeco Insurance Company of Indiana,10/02/2025,0.000%,6775,Safeco Insurance Company of Indiana,10/02/25,0.0,6775,True,True,True,True,direct
GA,PPA,LBPM-134667266,Safeco Insurance Company of Illinois,10/02/2025,0.000%,15115,Safeco Insurance Company of Illinois,10/02/25,0.0,15115,True,True,True,True,direct
GA,PPA,SFMA-133804244,State Farm Fire and Casualty Company,01/01/2024,0.400%,59457,,,,,,,,,none
GA,PPA,SFMA-133804244,State Farm Mutual Automobile Insurance Company,01/01/2024,0.000%,1922541,,,,,,,,,none
GA,PPA,SFMA-133874449,State Farm Fire and Casualty Company,02/19/2024,7.900%,67544,,,,,,,,,none
GA,PPA,SFMA-133874449,State Farm Mutual Automobile Insurance Company,02/19/2024,10.000%,2074402,,,,,,,,,none
GA,PPA,SFMA-134040363,State Farm Fire and Casualty Company,08/19/2024,4.600%,73925,,,,,,,,,none
GA,PPA,SFMA-134040363,State Farm Mutual Automobile Insurance Company,08/19/2024,5.300%,2072829,,,,,,,,,none
GA,PPA,SFMA-134075208,State Farm Fire and Casualty Company,08/01/2024,0.000%,2231,,,,,,,,,none
GA,PPA,SFMA-134075208,State Farm Mutual Automobile Insurance Company,08/01/2024,0.000%,38341,,,,,,,,,none
GA,PPA,SFMA-134247090,State Farm Fire and Casualty Company,12/13/2024,-2.700%,71583,State Farm Fire and Casualty Company,02/24/25,-2.7,71583,True,True,False,True,date_relaxed
GA,PPA,SFMA-134247090,State Farm Mutual Automobile Insurance Company,12/13/2024,-3.300%,2068581,State Farm Mutual Automobile Insurance Company,02/24/25,-3.3,2068581,True,True,False,True,date_relaxed
GA,PPA,SFMA-134249853,State Farm Fire and Casualty Company,08/25/2025,0.000%,71583,,,,,,,,,none
GA,PPA,SFMA-134249853,State Farm Mutual Automobile Insurance Company,08/25/2025,0.000%,2068581,,,,,,,,,none
GA,PPA,SFMA-134249896,State Farm Fire and Casualty Company,08/25/2025,0.000%,71583,,,,,,,,,none
GA,PPA,SFMA-134249896,State Farm Mutual Automobile Insurance Company,08/25/2025,0.000%,2068581,,,,,,,,,none
GA,PPA,SFMA-134251542,State Farm Fire and Casualty Company,08/25/2025,0.000%,71583,,,,,,,,,none
GA,PPA,SFMA-134251542,State Farm Mutual Automobile Insurance Company,08/25/2025,0.000%,2068581,,,,,,,,,none
GA,PPA,SFMA-134251547,State Farm Fire and Casualty Company,08/25/2025,0.000%,71583,,,,,,,,,none
GA,PPA,SFMA-134251547,State Farm Mutual Automobile Insurance Company,08/25/2025,0.000%,2068581,,,,,,,,,none
