source_file,major_line,group_company,subsidiary,effective_date,disposition_date,overall_rate_effect_header,indicated_pct,impact_pct,written_premium_change,policyholders_affected,written_premium_for_program,maximum_pct,minimum_pct,filing_action,data_n_a
1,HO,Hartford Insurance Group,Trumbull Insurance Company,10/10/24,07/25/24,34.4,34.4,14.9,153021,554,1026987,20.0,0.0,Rate,False
1,PPA,Travelers Group,,10/02/24,07/25/24,,,,,,,,,Rate,True
1,HO,,,07/29/24,07/25/24,,,,,,,,,Rate,True
1,HO,,Horace Mann Property & Casualty Insurance Company,07/24/24,07/24/24,28.4,28.4,14.8,1008328,3804,6792414,23.5,1.3,Rate,False
1,HO,,Teachers Insurance Company,07/24/24,07/24/24,28.4,28.4,15.2,315594,806,2078768,21.2,2.0,Rate,False
1,HO,,Horace Mann Property & Casualty Insurance Company,07/24/24,07/24/24,28.4,28.4,14.8,1008328,3804,6792414,23.5,1.3,Rate,False
1,HO,,Teachers Insurance Company,07/24/24,07/24/24,28.4,28.4,15.2,315594,806,2078768,21.2,2.0,Rate,False
1,PPA,,COUNTRY Casualty Insurance Company,08/28/24,07/24/24,22.848,22.848,9.577,251862,503,2629835,23.3,-7.0,Rate,False
1,PPA,,COUNTRY Mutual Insurance Company,08/28/24,07/24/24,22.848,22.848,9.229,2008294,5050,21761157,29.1,-21.5,Rate,False
1,PPA,,COUNTRY Preferred Insurance Company,08/28/24,07/24/24,22.848,22.848,10.381,4810430,14878,46339149,30.7,-19.9,Rate,False
1,PPA,,American Family Home Insurance Company,10/01/24,07/19/24,,0.0,0.3,14135,240,4258891,10.0,0.0,Rate,False
1,PPA,,American Family Home Insurance Company,10/01/24,07/19/24,,0.0,0.3,14135,240,4258891,10.0,0.0,Rate,False
1,PPA,,COUNTRY Casualty Insurance Company,05/29/24,07/19/24,5.759,5.759,5.532,11555,54,208872,6.7,-8.2,Rate,False
1,PPA,,COUNTRY Mutual Insurance Company,05/29/24,07/19/24,5.759,5.759,5.66,1655616,9749,29251172,9.2,-11.1,Rate,False
1,PPA,,COUNTRY Preferred Insurance Company,05/29/24,07/19/24,5.759,5.759,5.387,1626880,10079,30200103,8.9,-13.1,Rate,False
1,PPA,,COUNTRY Casualty Insurance Company,05/29/24,07/19/24,5.759,5.759,5.532,11555,54,208872,6.7,-8.2,Rate,False
1,PPA,,COUNTRY Mutual Insurance Company,05/29/24,07/19/24,5.759,5.759,5.66,1655616,9749,29251172,9.2,-11.1,Rate,False
1,PPA,,COUNTRY Preferred Insurance Company,05/29/24,07/19/24,5.759,5.759,5.387,1626880,10079,30200103,8.9,-13.1,Rate,False
1,PPA,Root Insurance Group,Root Insurance Company,05/29/24,07/19/24,5.759,97.5,24.9,51099,1877,205219,29.3,19.5,Rate,False
1,HO,Travelers Group,,02/18/24,06/11/25,,,,,,,,,Rate,False
1,HO,Travelers Group,,09/27/24,06/10/25,,,,,,,,,Rate,False
1,HO,Tower Hill Group,Tower Hill Prime Insurance Company,10/15/24,05/07/25,,45.8,14.58,546958,1649,3750149,19.89,3.42,Rate,False
1,PPA,Allstate Insurance Group,Allstate Insurance Company,05/27/24,01/27/25,3.6,3.6,3.6,3312298,28660,92008271,10.2,0.0,Rate,False
1,PPA,,Clearcover Insurance Company,10/01/24,12/09/24,22.7,22.7,8.9,413710,4026,4648423,16.6,-7.1,Rate,False
1,PPA,,Clearcover Insurance Company,10/01/24,12/09/24,22.7,22.7,11.2,369109,2463,3295612,16.7,-7.5,Rate,False
1,PPA,Allstate Insurance Group,,07/23/24,11/21/24,,,,,,,,,Rate,False
1,PPA,Allstate Insurance Group,Allstate Indemnity Company,09/30/24,11/21/24,,18.3,18.3,564075,844,3082378,34.2,0.0,Rate,False
1,PPA,Allstate Insurance Group,Allstate Indemnity Company,09/30/24,11/21/24,,59.4,29.8,546189,844,1831738,37.5,0.0,Rate,False
1,HO,,,10/30/24,10/30/24,,,,,,,,,Rate,False
1,HO,,,10/30/24,10/30/24,,,,,,,,,Rate,False
1,PPA,Allstate Insurance Group,Allstate Northbrook Indemnity Company,10/07/24,10/24/24,,17.5,17.5,2136984,2766,12211336,29.6,0.0,Rate,False
1,PPA,Farmers Insurance Group,Toggle Insurance Company,10/31/24,10/23/24,,0.0,0.0,0,3392,5084027,0.0,0.0,Rate,False
1,PPA,,,10/21/24,10/17/24,,,,,,,,,Rate,False
1,PPA,,"The General Automobile Insurance Company, Inc.",10/16/24,10/16/24,,0.0,0.0,0,0,0,0.0,0.0,Rate,False
1,PPA,Farmers Insurance Group,Economy Premier Assurance Company,10/25/24,10/15/24,77.2,77.2,12.5,12461,144,99691,12.5,12.5,Rate,False
